Name,Address,Website,Phone,seed_stage,start_stage,growth_stage,lon,lat
East Greensboro NOW,"601 East Market Street # B, Greensboro, NC 27401",http://www.eastgreensboronow.com/,(336) 275-1101,TRUE,TRUE,TRUE,-76.7155354,39.9667005
Greensboro Economic Development & Business Support,"300 W Washington Street, Suite UG36, Greensboro, NC 27401",https://www.greensboro-nc.gov/business/economic-development-business-support,(336) 373-4624,FALSE,FALSE,FALSE,-79.7927495,36.0721209
Greensboro Chamber Entrepreneur Connection,"229 North Greene Street, Greensboro NC 27401",https://www.greensboro.org/start-your-business/,(336)256-3331,TRUE,TRUE,TRUE,-79.79172160000002,36.0745747
Guilford County Cooperative Extension,"3309 Burlington Rd. Greensboro, NC 27405",http://guilford.ces.ncsu.edu,(336) 375-5876,TRUE,TRUE,TRUE,-79.73849779999999,36.0849396
High Point Chamber of Commerce,"1634 N Main St., High Point, NC 27262",http://www.highpointchamber.org,(336) 882-5000,TRUE,TRUE,TRUE,-80.01845019999999,35.9755608
Internal Revenue Service (IRS),"4905 Koger Blvd., Greensboro, NC 27407",http://www.irs.gov/,(336) 574-6024,TRUE,TRUE,TRUE,-79.88453779999999,36.0508682
NC Entrepreneurship Center at UNCG,"1111 Spring Garden St., 1716 Moore Humanities and Research",http://ncec.uncg.edu,(336) 256-8649,TRUE,FALSE,FALSE,-79.8096764,36.0656567
Women's Resource Center,"628 Summit Ave., Greensboro, NC 27405",http://www.womenscentergso.org,(336) 275-6090,TRUE,TRUE,FALSE,-79.7803315,36.0803421
The Forge,"115 W. Lewis Street, Greensboro, NC 27406",http://www.forgegreensboro.org/,(336) 252-5331,TRUE,TRUE,FALSE,-79.7917267,36.065934
Greensboro Public Library,"219 N. Church Street, Greensboro, NC 27401",http://www.greensborolibrary.org,(336) 373-2471,TRUE,TRUE,FALSE,-79.7868566,36.0748076
Guilford Merchants Association,"225 Commerce Place, Greensboro, NC 27401",http://www.mygma.org,(336) 378-6350,FALSE,TRUE,TRUE,-79.7929262,36.0748641
HPU - Entrepreneurship Center,"833 Montlieu Avenue, High Point, NC 27262",http://www.highpoint.edu/business/center-for-entrepreneurship,(336) 841-9422,TRUE,TRUE,FALSE,-79.9969314,35.971217
NC Biotech Center,"15 T.W. Alexander Drive, Research Triangle Park, NC",http://www.ncbiotech.org,(919) 541-9366,TRUE,TRUE,TRUE,-78.8662349,35.9233502
US Export Center,"333 S Greene Street, Suite 300, Greensboro, NC 27401",www.buyusa.gov/northcarolina,(336) 333-5345,TRUE,TRUE,TRUE,-79.7914114,36.0689783
Elon Law School Business Clinic,"229 N Greene Street, Greensboro, NC 27401",https://www.elon.edu/e/law/academics/clinics/entrepreneurship-clinic.html,(336) 279-9217,TRUE,TRUE,TRUE,-79.79172160000002,36.0745747
